Label, Section, Number of samples, Average Current (uA), Total Current (uA) ,Total time(ms)
no_tls_15_1024B,total,13245188,3401.5789672375886,45054552917.9077,132451.87
no_tls_15_1024B,setup,1240273,24731.768013538862,30674144109.455883,12402.720000000001
no_tls_15_1024B,compute,1437,21320.67549240045,30637810.682579443,14.37000000000262
no_tls_15_1024B,send,3755,7947.311277233568,29842153.84601205,37.549999999991996
no_tls_15_1024B,sleep,11999723,1193.3549502892095,14319928844.149284,119997.23
no_tls_15_1024B,modem,1566639,28060.243057184092,43960271122.86383,15666.389999999941
no_tls_15_1024B,system_above_10uA,1406528,10155.109461666554,14283445800.898935,14283445800.898935
no_tls_15_1024B,system_above_20uA,1342489,10638.793624462387,14282463414.110886,14282463414.110886
no_tls_15_1024B,system_above_40uA,654990,21775.675633811934,14262849783.390478,14262849783.390478
no_tls_15_1024B,system_above_80uA,653711,21818.178192721763,14262783084.542337,14262783084.542337
no_tls_15_1024B,system_above_160uA,652565,21856.282738318136,14262645145.130575,14262645145.130575
no_tls_25_1024B,total,14648431,3724.2359070971966,54554212712.83569,146484.3
no_tls_25_1024B,setup,1172220,25270.213413758647,29622249567.876163,11722.19
no_tls_25_1024B,compute,1469452,6660.647970455623,9787502481.481956,14694.519999999997
no_tls_25_1024B,send,7033,7080.5752984981855,49797686.074337736,70.32999999999083
no_tls_25_1024B,sleep,11999726,1257.9173039543846,15094662978.111332,119997.26
no_tls_25_1024B,modem,1770997,28387.030168405752,50273345267.15608,17709.969999999994
no_tls_25_1024B,system_above_10uA,1476342,10199.774298596381,15058355187.53838,15058355187.53838
no_tls_25_1024B,system_above_20uA,1409759,10680.787197591373,15057335878.889217,15057335878.889217
no_tls_25_1024B,system_above_40uA,720036,20884.606351364506,15037668418.811092,15037668418.811092
no_tls_25_1024B,system_above_80uA,718883,20918.0198650228,15037608874.627188,15037608874.627188
no_tls_25_1024B,system_above_160uA,717273,20964.701215106998,15037414134.663443,15037414134.663443
no_tls_25_708B,total,14936672,3915.8364196169214,58489564205.47232,149366.71
no_tls_25_708B,setup,1461210,22139.91867793171,32351070571.380592,14612.09
no_tls_25_708B,compute,1468707,6909.748062393387,10148395347.473604,14687.070000000003
no_tls_25_708B,send,7030,7091.833276579388,49855587.9343531,70.29999999999563
no_tls_25_708B,sleep,11999725,1328.384000413649,15940242699.363672,119997.25
no_tls_25_708B,modem,1901812,28490.07746740402,54182771208.43857,19018.119999999944
no_tls_25_708B,system_above_10uA,1499571,10605.553940485599,15903781128.08793,15903781128.08793
no_tls_25_708B,system_above_20uA,1436459,11070.83862079535,15902805774.389069,15902805774.389069
no_tls_25_708B,system_above_40uA,744967,21320.448337791513,15883030436.859531,15883030436.859531
no_tls_25_708B,system_above_80uA,743886,21351.354969138836,15882974042.572811,15882974042.572811
no_tls_25_708B,system_above_160uA,742297,21396.802596730584,15882782377.145323,15882782377.145323
no_tls_20_2048B,total,13297414,3544.131364326852,47127782021.83898,132974.18
no_tls_20_2048B,setup,1247977,24604.699515556917,30706099087.326176,12479.759999999998
no_tls_20_2048B,compute,45944,18076.840565715545,830522362.951235,459.4400000000096
no_tls_20_2048B,send,3770,7949.42940494931,29969348.8566589,37.700000000004366
no_tls_20_2048B,sleep,11999723,1296.7958696167193,15561191222.944748,119997.27999999998
no_tls_20_2048B,modem,1633113,28170.959558768944,46006360277.899826,16331.130000000014
no_tls_20_2048B,system_above_10uA,1426712,10881.302410847677,15524484725.18531,15524484725.18531
no_tls_20_2048B,system_above_20uA,1360335,11411.495039981306,15523456105.21297,15523456105.21297
no_tls_20_2048B,system_above_40uA,694781,22315.669339340486,15504503059.256323,15504503059.256323
no_tls_20_2048B,system_above_80uA,693439,22358.75323053645,15504431481.429966,15504431481.429966
no_tls_20_2048B,system_above_160uA,692099,22401.81474193172,15504273581.076202,15504273581.076202
no_tls_20_256B,total,13520813,3511.508298825504,47478447056.36776,135208.12
no_tls_20_256B,setup,1471414,22293.96802841194,32803656672.557724,14714.129999999997
no_tls_20_256B,compute,45938,17915.822073821793,823017034.4272256,459.38000000001557
no_tls_20_256B,send,3737,7799.29788104454,29145976.181463446,37.36999999998443
no_tls_20_256B,sleep,11999724,1151.9121084315627,13822627373.436825,119997.24
no_tls_20_256B,modem,1651369,28031.78876853353,46290826986.90445,16513.690000000097
no_tls_20_256B,system_above_10uA,1387757,9934.003262686856,13785982565.816523,13785982565.816523
no_tls_20_256B,system_above_20uA,1320571,10438.622553632411,13784942224.272907,13784942224.272907
no_tls_20_256B,system_above_40uA,633290,21736.35061097884,13765413478.42679,13765413478.42679
no_tls_20_256B,system_above_80uA,632253,21771.914963845396,13765358551.636143,13765358551.636143
no_tls_20_256B,system_above_160uA,631064,21812.710952412326,13765216624.473133,13765216624.473133
no_tls_10_1416B,total,15080088,3098.1006968281004,46719631141.029076,150800.87
no_tls_10_1416B,setup,15080088,3098.1006968281004,46719631141.029076,150800.87
no_tls_10_1416B,compute,0,0,0,0
no_tls_10_1416B,send,0,0,0,0
no_tls_10_1416B,sleep,0,0,0,0
no_tls_10_1416B,modem,1640109,27909.44987495358,45774539924.96024,16401.089999999964
no_tls_10_1416B,system_above_10uA,0,0,0,0
no_tls_10_1416B,system_above_20uA,0,0,0,0
no_tls_10_1416B,system_above_40uA,0,0,0,0
no_tls_10_1416B,system_above_80uA,0,0,0,0
no_tls_10_1416B,system_above_160uA,0,0,0,0
no_tls_25_2048B,total,15087295,4283.152662300811,64621187746.167725,150872.94
