Label, Section, Number of samples, Average Current (uA), Total Current (uA) ,Total time(ms)
no_tls_15_1024B,total,13245188,3401.5789672375886,45054552917.9077,132451.87
no_tls_15_1024B,setup,1240273,24731.768013538862,30674144109.455883,12402.720000000001
no_tls_15_1024B,compute,1437,21320.67549240045,30637810.682579443,14.350000000009459
no_tls_15_1024B,send,3755,7947.311277233568,29842153.84601205,37.549999999991996
no_tls_15_1024B,sleep,10578643,3.437293564934412,36361901.509638466,105747.77000000009
no_tls_15_1024B,modem,464785,29476.030163285304,13700016679.44256,4647.479999999974
no_tls_15_1024B,system,956295,610.2199250790138,583550263.2534355,9523.909999999421
no_tls_25_1024B,total,14648431,3724.2359070971966,54554212712.83569,146484.3
no_tls_25_1024B,setup,1172220,25270.213413758647,29622249567.876163,11722.19
no_tls_25_1024B,compute,1469452,6660.647970455623,9787502481.481956,14694.500000000004
no_tls_25_1024B,send,7033,7080.5752984981855,49797686.074337736,70.32999999999083
no_tls_25_1024B,sleep,10510635,3.4446000704292365,36204934.061256,105070.85999999943
no_tls_25_1024B,modem,492327,29046.635111874777,14300442724.723974,4922.880000000012
no_tls_25_1024B,system,996764,760.4762204359115,758015319.386581,9931.740000000074
no_tls_25_708B,total,14936672,3915.8364196169214,58489564205.47232,149366.71
no_tls_25_708B,setup,1461210,22139.91867793171,32351070571.380592,14612.09
no_tls_25_708B,compute,1468707,6909.748062393387,10148395347.473604,14687.049999999996
no_tls_25_708B,send,7030,7091.833276579388,49855587.9343531,70.29999999999563
no_tls_25_708B,sleep,10486906,3.466656517325057,36354501.031475246,104830.96999999997
no_tls_25_708B,modem,513333,29481.57609521324,15133865901.6841,5132.929999999964
no_tls_25_708B,system,999486,770.418291711513,770022296.7095733,9956.349999999955
no_tls_20_2048B,total,13297414,3544.131364326852,47127782021.83898,132974.18
no_tls_20_2048B,setup,1247977,24604.699515556917,30706099087.326176,12479.759999999998
no_tls_20_2048B,compute,45944,18076.840565715545,830522362.951235,459.41999999999825
no_tls_20_2048B,send,3770,7949.42940494931,29969348.8566589,37.700000000004366
no_tls_20_2048B,sleep,10560926,3.4664525213890593,36608948.56090327,105572.93000000012
no_tls_20_2048B,modem,510549,29311.45521750227,14964934149.840567,5105.130000000016
no_tls_20_2048B,system,928248,602.907977826852,559648124.6018196,9245.72999999989
no_tls_20_256B,total,13520813,3511.508298825504,47478447056.36776,135208.12
no_tls_20_256B,setup,1471414,22293.96802841194,32803656672.557724,14714.129999999997
no_tls_20_256B,compute,45938,17915.822073821793,823017034.4272256,459.3600000000042
no_tls_20_256B,send,3737,7799.29788104454,29145976.181463446,37.36999999998443
no_tls_20_256B,sleep,10598494,3.447073495197777,36533787.75641267,105945.94000000003
no_tls_20_256B,modem,445954,29628.58223709725,13212984762.962467,4459.180000000088
no_tls_20_256B,system,955276,599.9405645833665,573108822.77294,9513.39000000024
no_tls_10_1416B,total,13150782,3292.3139703162215,43296503299.1831,131507.81
no_tls_10_1416B,setup,1147266,25432.40030121231,29177728163.970642,11472.65
no_tls_10_1416B,compute,45,4387.556856864705,197440.05855891173,0.43000000000029104
no_tls_10_1416B,send,3757,8804.493747351418,33078483.00879928,37.56999999999789
no_tls_10_1416B,sleep,10552069,3.706682078346478,39113165.05177544,105406.8699999993
no_tls_10_1416B,modem,457256,29447.151405781828,13464886663.202175,4572.190000000066
no_tls_10_1416B,system,990389,587.1424099026777,581499384.2011031,9789.690000000317
no_tls_25_2048B,total,15087295,4283.152662300811,64621187746.167725,150872.94
no_tls_25_2048B,setup,1704162,20477.863618400363,34897597019.6604,17041.61
no_tls_25_2048B,compute,1469193,6162.935396324225,9054541543.731777,14691.91000000001
no_tls_25_2048B,send,7039,7085.61306657836,49875630.37564508,70.3899999999885
no_tls_25_2048B,sleep,9958614,3.4371069559689187,34228821.451209456,99549.18999999958
no_tls_25_2048B,modem,676768,29099.84193881129,19693841829.245438,6767.180000000164
no_tls_25_2048B,system,1271519,700.817606728291,891102902.4895499,12677.72999999989
no_tls_15_708B,total,12971549,2854.641561939891,37029122898.13983,129715.48
no_tls_15_708B,setup,966665,23372.13396022469,22593023874.660603,9666.64
no_tls_15_708B,compute,1436,15262.482942171597,21916925.504958414,14.340000000012878
no_tls_15_708B,send,3730,7845.045653073198,29262020.28596303,37.29999999998836
no_tls_15_708B,sleep,10531307,3.7993664825783005,40012294.833542235,105190.50999999966
no_tls_15_708B,modem,469627,29336.933891613568,13777416252.716805,4695.899999999976
no_tls_15_708B,system,998784,568.1824397838587,567491529.9370816,9864.900000000607
tls_15_256B,total,13662398,4074.1518555036323,55662684162.32912,136623.97
tls_15_256B,setup,1657344,22207.26224312752,36805072835.07394,16573.43
tls_15_256B,compute,1436,19550.888489415385,28075075.870800495,14.339999999996508
tls_15_256B,send,3900,8444.25534109665,32932595.830276933,38.999999999992724
tls_15_256B,sleep,10359117,3.467858396588711,35923950.86969486,103548.24000000043
tls_15_256B,modem,635187,28611.974162049028,18173954032.069435,6351.46999999999
tls_15_256B,system,1005414,583.5662452607971,586725672.9126391,10010.800000000541
no_tls_20_708B,total,13447394,3239.673939078048,43565171890.31451,134473.93
no_tls_20_708B,setup,1398011,19919.10005660614,27847120989.236008,13980.09
no_tls_20_708B,compute,45927,18261.51804938515,838696739.4541118,459.2499999999891
no_tls_20_708B,send,3730,8532.125445570306,31824827.91197724,37.300000000010186
no_tls_20_708B,sleep,10563964,3.4263273646685093,36195598.932573006,105607.66000000016
