Configuration,sum,comp,send,sleep,system,modem,system
no_tls_15_1024B,100.0%,0.01%,0.03%,79.87%,7.22%,3.51%,9.36%
tls_e2e_10_1416B,100.0%,0.0%,0.04%,78.16%,9.07%,3.69%,9.04%
tls_e2e_15_708B,100.0%,0.01%,0.03%,77.41%,9.19%,3.57%,9.78%
no_tls_25_1024B,100.0%,10.03%,0.05%,71.75%,6.8%,3.36%,8.0%
no_tls_25_708B,100.0%,9.83%,0.05%,70.21%,6.69%,3.44%,9.78%
tls_e2e_25_708B,100.0%,9.75%,0.05%,66.21%,9.47%,3.95%,10.57%
no_tls_20_2048B,100.0%,0.35%,0.03%,79.42%,6.98%,3.84%,9.39%
no_tls_20_256B,100.0%,0.34%,0.03%,78.39%,7.07%,3.3%,10.88%
tls_e2e_10_708B,100.0%,0.0%,0.04%,78.52%,9.16%,3.75%,8.53%
no_tls_e2e_15_1024B,100.0%,0.01%,0.03%,79.7%,7.97%,3.07%,9.21%
no_tls_10_1416B,100.0%,0.0%,0.03%,80.24%,7.53%,3.48%,8.72%
no_tls_e2e_10_1024B,100.0%,0.0%,0.03%,80.01%,7.87%,3.43%,8.65%
no_tls_e2e_15_2048B,100.0%,0.01%,0.04%,80.1%,7.8%,3.39%,8.66%
no_tls_e2e_10_1416B,100.0%,0.0%,0.03%,79.69%,7.96%,3.23%,9.09%
no_tls_25_2048B,100.0%,9.74%,0.05%,66.01%,8.43%,4.49%,11.3%
no_tls_15_708B,100.0%,0.01%,0.03%,81.19%,7.7%,3.62%,7.45%
tls_15_256B,100.0%,0.01%,0.03%,75.82%,7.36%,4.65%,12.13%
tls_e2e_20_256B,100.0%,0.34%,0.03%,76.71%,9.11%,3.88%,9.93%
no_tls_20_708B,100.0%,0.34%,0.03%,78.56%,7.1%,3.58%,10.4%
no_tls_15_1416B,100.0%,0.01%,0.03%,76.93%,6.93%,3.4%,12.71%
tls_e2e_20_1024B,100.0%,0.35%,0.04%,78.27%,8.43%,3.55%,9.36%
no_tls_e2e_20_1024B,100.0%,0.35%,0.03%,80.56%,7.86%,3.28%,7.92%
no_tls_e2e_25_1416B,100.0%,10.12%,0.05%,72.13%,7.44%,3.14%,7.11%
no_tls_e2e_15_256B,100.0%,0.01%,0.03%,80.63%,7.76%,2.94%,8.62%
no_tls_e2e_20_256B,100.0%,0.35%,0.03%,80.08%,7.87%,2.98%,8.69%
no_tls_e2e_20_1416B,100.0%,0.35%,0.04%,77.64%,10.15%,4.31%,7.51%
tls_25_1024B,100.0%,9.75%,0.05%,67.27%,8.09%,3.97%,10.87%
no_tls_e2e_10_2048B,100.0%,0.0%,0.04%,79.48%,7.78%,3.28%,9.42%
tls_15_2048B,100.0%,0.01%,0.04%,77.38%,8.43%,4.37%,9.78%
tls_20_1024B,100.0%,0.33%,0.03%,75.81%,7.76%,3.82%,12.24%
tls_10_1024B,100.0%,0.0%,0.03%,75.22%,8.1%,4.05%,12.6%
no_tls_e2e_25_2048B,100.0%,10.14%,0.06%,72.09%,7.39%,3.36%,6.97%
tls_25_708B,100.0%,9.79%,0.05%,68.95%,7.25%,3.83%,10.13%
tls_15_708B,100.0%,0.01%,0.03%,75.58%,8.07%,4.0%,12.31%
tls_e2e_15_2048B,100.0%,0.01%,0.05%,79.03%,7.88%,3.03%,10.0%
tls_15_1416B,100.0%,0.01%,0.03%,76.39%,8.63%,4.16%,10.77%
no_tls_15_2048B,100.0%,0.01%,0.03%,81.1%,7.51%,3.75%,7.6%
no_tls_e2e_20_2048B,100.0%,0.35%,0.04%,81.24%,8.01%,3.31%,7.04%
tls_e2e_20_2048B,100.0%,0.34%,0.04%,76.3%,8.98%,3.88%,10.45%
no_tls_10_708B,100.0%,0.0%,0.03%,79.79%,7.22%,3.46%,9.5%
no_tls_e2e_20_708B,100.0%,0.35%,0.03%,80.02%,7.79%,3.16%,8.65%
tls_e2e_20_708B,100.0%,0.35%,0.03%,79.4%,7.82%,3.19%,9.2%
no_tls_25_256B,100.0%,9.95%,0.05%,71.48%,6.66%,3.17%,8.69%
no_tls_e2e_10_708B,100.0%,0.0%,0.03%,81.15%,8.07%,3.12%,7.63%
tls_e2e_10_1024B,100.0%,0.0%,0.04%,78.89%,9.05%,3.69%,8.33%
tls_e2e_25_2048B,100.0%,9.93%,0.06%,69.37%,8.32%,3.39%,8.93%
