Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_10_256B,total,31150538,2223.8349982286054,69278394408.69626,311505.3801380737,3.332062884805135
no_tls_10_256B,setup,1136553,25989.831586093827,29575486332.423622,11365.536000201664,1.4208180430137625
no_tls_10_256B,compute,14598,36132.455218838644,107016667.48707585,145.9860000000124,0.025371944842449343
no_tls_10_256B,sleep,28169557,5.343782541138019,150531560.53033286,281695.57011031115,0.00724058857215744
no_tls_10_256B,modem,1259936,29903.4627624216,37678280156.6703,12599.360000228595,1.8122372093924357
no_tls_10_256B,system,569892,3100.8307637583484,1767079690.9212117,5698.9280000779745,0.08499948817544184
no_tls_10_708B,total,31137367,2237.0124203749237,69661069677.01196,311373.676137951,3.3503900161212816
no_tls_10_708B,setup,1123369,25421.14445343808,28596071258.9246,11233.694000198786,1.373607851618163
no_tls_10_708B,compute,14608,32700.451654870063,107185898.52399299,146.08200000001233,0.02297711689129271
no_tls_10_708B,sleep,28124937,5.249937548602519,147654053.03764218,281249.3761098956,0.007102165385371394
no_tls_10_708B,modem,1303482,29951.98580159354,39040683319.793365,13034.828000238102,1.8779153091407519
no_tls_10_708B,system,570969,3099.200919223849,1769475146.0812736,5709.696000078209,0.08511533139218869
no_tls_10_1024B,total,31043359,2201.593910550706,68351548963.636925,310433.5921370755,3.2873882762417543
no_tls_10_1024B,setup,1029302,25225.023630225987,26004793608.294952,10293.024000178253,1.248876931165012
no_tls_10_1024B,compute,14660,36105.525119813334,107538591.49361762,146.60400000001184,0.02546036128644125
no_tls_10_1024B,sleep,28082345,5.200579770189931,146043693.50450844,280823.45410949894,0.007024739365040626
no_tls_10_1024B,modem,1336412,30154.18643820508,40302354484.09619,13364.12800024529,1.9383549991295137
no_tls_10_1024B,system,580638,3084.2219141657006,1790818585.634439,5806.382000080319,0.08613830061805859
no_tls_10_1416B,total,31134335,2487.4853395660352,77457546897.00093,311343.3541379228,3.72516235943901
no_tls_10_1416B,setup,1122434,25517.93996042814,28666627817.79719,11224.340000198583,1.377689984600602
no_tls_10_1416B,compute,12506,33251.648108494024,89320732.09574299,125.06400000000971,0.020002789612587304
no_tls_10_1416B,sleep,27583761,9.808786084679715,261424936.13844767,275837.6101048555,0.013014090456929792
no_tls_10_1416B,modem,1591059,29455.22372557288,46150495253.09011,15910.595999964731,2.2542072926214587
no_tls_10_1416B,system,824574,2945.4904829252564,2289678157.142104,8245.744000064129,0.11682412789353751
no_tls_10_2048B,total,31138374,2357.807478365019,73425405860.26102,311383.7401379604,3.5314198025764383
no_tls_10_2048B,setup,1124288,25660.75379071234,28908768246.673378,11242.888000198986,1.3876897179830665
no_tls_10_2048B,compute,14687,30596.239597192693,110189478.87791865,146.8720000000116,0.021614845639193542
no_tls_10_2048B,sleep,28016170,5.229383073352419,146499530.45731506,280161.7041088826,0.00704700052042177
no_tls_10_2048B,modem,1402823,30278.685721715905,42476074289.53679,14028.232000259784,2.043078418522155
no_tls_10_2048B,system,580404,3074.3109753946783,1783874314.0403252,5804.044000080268,0.08582692798308912
no_tls_15_256B,total,31107377,2185.215966128996,67979164507.48595,311073.77013767173,3.2696618056056392
no_tls_15_256B,setup,1089882,25175.803471568393,27471978083.048504,10898.826000191475,1.31980003398239
no_tls_15_256B,compute,15304,41782.285746377274,131385051.06862125,153.0420000000122,0.03075727840670036
no_tls_15_256B,sleep,28138121,5.173286309016392,145566562.5262979,281381.2101100184,0.007001751352626556
no_tls_15_256B,modem,1285843,29897.49937101365,38443604327.034164,12858.43200023425,1.8491321702946735
no_tls_15_256B,system,578226,3089.8722362526605,1786630483.1645947,5782.260000079792,0.08593759870416652
no_tls_15_708B,total,31027955,2111.8491710275784,65528313678.10647,310279.55013693206,3.1518179676761866
no_tls_15_708B,setup,1010456,24895.916354509554,25184205644.773476,10104.562000174137,1.21001480900895
no_tls_15_708B,compute,15311,41878.85523711593,131955468.79884954,153.11800000001216,0.030843675535308653
no_tls_15_708B,sleep,28144851,5.159205348776492,145204885.69600344,281448.51211008104,0.006984363718291709
no_tls_15_708B,modem,1283846,29824.7281211475,38290529588.77764,12838.468000233815,1.8417673626513138
no_tls_15_708B,system,573489,3097.6281486649373,1776418089.4828365,5734.890000078759,0.08544751769689435
no_tls_15_1024B,total,31017239,2189.058553161122,67899338217.45725,310172.39413683227,3.2659204105539343
no_tls_15_1024B,setup,999679,24485.49224729816,24480941870.215843,9996.792000171787,1.1773743542168615
no_tls_15_1024B,compute,15370,39154.81202394909,131229416.71820657,153.7000000000116,0.028947035064871673
no_tls_15_1024B,sleep,28042273,5.157456378840991,144626860.7028865,280422.7321091257,0.0069565491208283805
no_tls_15_1024B,modem,1372156,30124.250296638602,41337557163.39123,13721.56400025309,1.9882222946279042
no_tls_15_1024B,system,587760,3071.1384625128712,1804982905.838323,5877.606000081874,0.08682503031941326
no_tls_15_1416B,total,31119215,2275.955851932374,70835570922.3395,311192.154137782,3.406728696612419
