Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_10_256B,total,31067426,2093.489024812681,65039315360.18013,310674.26013729966,3.1283910702072273
no_tls_10_256B,setup,1053437,25094.13802423657,26435093477.8377,10534.37000018352,1.2715279963061445
no_tls_10_256B,compute,14602,39797.81680768222,106787292.41672729,146.02000000001237,0.02795224338134218
no_tls_10_256B,sleep,28207768,5.348313901042903,150863997.71179315,282077.680110667,0.007256558292784203
no_tls_10_256B,modem,1230705,29737.080842480536,36597574078.24501,12307.050000222214,1.7603433131953692
no_tls_10_256B,system,560914,3118.118844363324,1748996513.4672096,5609.140000076014,0.08412673229891285
no_tls_10_708B,total,31037528,2122.503089080149,65877249057.41162,310375.2801370212,3.168695681060381
no_tls_10_708B,setup,1023525,24613.047315041666,25192069253.12802,10235.250000176991,1.2117385310964115
no_tls_10_708B,compute,14611,30893.11599887654,107373275.47569178,146.1100000000123,0.021711345189047868
no_tls_10_708B,sleep,28139662,5.222819442099701,146968373.78771415,281396.62011003273,0.0070691787819532675
no_tls_10_708B,modem,1285891,30064.012079563923,38659042557.00253,12858.91000023426,1.8594999470256974
no_tls_10_708B,system,573839,3087.617951161947,1771795597.4768205,5738.390000078835,0.08522336823980588
no_tls_10_1024B,total,31105768,2200.9729890793997,68462955172.570335,311057.68013765675,3.293068145257961
no_tls_10_1024B,setup,1091708,25672.055614489014,28026388490.782574,10917.080000191874,1.3480692864303347
no_tls_10_1024B,compute,14662,39318.91870519343,106990437.27375242,146.62000000001183,0.027729360729273997
no_tls_10_1024B,sleep,28145189,5.170154365954923,145514971.7889765,281451.8901100842,0.006999270145787391
no_tls_10_1024B,modem,1280711,29994.61073572442,38414427909.96036,12807.11000023313,1.8477339825027272
no_tls_10_1024B,system,573498,3085.6835807525704,1769633362.1944375,5734.980000078761,0.08511936472272141
no_tls_10_1416B,total,31083745,2177.8872031251267,67696890460.704636,310837.45013745164,3.2562204325997866
no_tls_10_1416B,setup,1069705,24511.821287261035,26220417790.089565,10697.050000187071,1.261202095725364
no_tls_10_1416B,compute,14648,30142.049625869404,109030987.60946001,146.48000000001196,0.02123714773444099
no_tls_10_1416B,sleep,28122838,5.1796162592079975,145665508.9598725,281228.38010987605,0.007006510983707315
no_tls_10_1416B,modem,1303744,30269.632908949337,39463852287.24525,13037.440000238157,1.8982112950511707
no_tls_10_1416B,system,572810,3068.9476200930267,1757923886.2654867,5728.100000078611,0.08455613893053031
no_tls_10_2048B,total,31050782,2158.5578583676097,67024909494.559525,310507.82013714465,3.22389814811224
no_tls_10_2048B,setup,1036699,24920.605392873156,25835166690.186207,10366.990000179867,1.2426715178195167
no_tls_10_2048B,compute,14683,30567.123531965794,110040469.04062293,146.83000000001164,0.021588101298836673
no_tls_10_2048B,sleep,28140530,5.131159450743285,144393546.45842493,281405.3001100408,0.006945329587366142
no_tls_10_2048B,modem,1296845,30224.622952621143,39196651152.99197,12968.450000236651,1.8853589204933177
no_tls_10_2048B,system,562025,3093.559246193877,1738657635.3421135,5620.250000076257,0.08362943226109036
no_tls_15_256B,total,31142073,2191.4912122390683,68247579310.407555,311420.73013799486,3.282708566285217
no_tls_15_256B,setup,1124590,25263.666266306638,28411266446.42578,11245.900000199052,1.3665819160972683
no_tls_15_256B,compute,15295,44032.231794428866,133039356.29565641,152.9500000000123,0.03239405059273008
no_tls_15_256B,sleep,28158659,5.165049061327951,145440855.23620388,281586.59011020965,0.006995705139599442
no_tls_15_256B,modem,1268158,29782.995694593283,37769544254.064026,12681.58000023039,1.8167150786534842
no_tls_15_256B,system,575371,3108.06140349705,1788288397.791501,5753.71000007917,0.08601667193495477
no_tls_15_708B,total,31053308,2092.998135490093,64994515744.79958,310533.0801371682,3.126236208705776
no_tls_15_708B,setup,1035793,24814.985275692878,25703188043.665752,10357.93000017967,1.2363233449217679
no_tls_15_708B,compute,15326,35699.379981106154,128094776.24687377,153.260000000012,0.026316890354101882
no_tls_15_708B,sleep,28178726,5.146331589491836,145017067.76543492,281787.26011039654,0.006975320962250158
no_tls_15_708B,modem,1249688,29801.483103916355,37242555817.16702,12496.880000226358,1.7913669348381809
no_tls_15_708B,system,573775,3094.6974674464664,1775660039.3840961,5737.750000078821,0.08540924789554832
no_tls_15_1024B,total,30995644,2117.8296930821,65643495219.40205,309956.44013663114,3.157452121445067
no_tls_15_1024B,setup,978088,24081.02517440061,23553361750.779144,9780.880000167073,1.1329167002318288
no_tls_15_1024B,compute,15366,35750.15461207397,128801583.50632131,153.66000000001165,0.02642310372449709
no_tls_15_1024B,sleep,28086239,5.154011682666708,144756803.9281693,280862.3901095352,0.006962802271660408
no_tls_15_1024B,modem,1333117,30023.817650148867,40025261714.31351,13331.170000244569,1.925215088493799
no_tls_15_1024B,system,582834,3073.4537901055523,1791313366.3023794,5828.340000080799,0.08616217292033893
no_tls_15_1416B,total,31036687,2148.488180928683,66681955194.68291,310366.8701370134,3.2074020462801753
no_tls_15_1416B,setup,1019133,24372.807200075866,24839132120.234917,10191.330000176033,1.1947622550039363
