Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_10_256B,total,31140704,2223.0372758319513,69226945787.64915,311407.0401379821,3.32981609386134
no_tls_10_256B,setup,1126724,25546.627763544308,28783998620.251698,11267.240000199517,1.384510333658623
no_tls_10_256B,compute,14597,30644.307304466114,107415404.84092769,145.97000000001242,0.02151584927409217
no_tls_10_256B,sleep,28144563,5.378900838788448,151386813.52803433,281445.6301100784,0.007281705733546454
no_tls_10_256B,modem,1278543,30041.11149093204,38408852808.95072,12785.430000232656,1.8474658201441478
no_tls_10_256B,system,576277,3080.6229284967,1775292139.3652928,5762.7700000793675,0.08539155190464663
no_tls_10_708B,total,31242718,2350.1046648421625,73423657314.1482,312427.1801389322,3.5316779183810185
no_tls_10_708B,setup,1228713,25911.600004347896,31837919776.14232,12287.13000022178,1.5314039412600868
no_tls_10_708B,compute,14616,39759.52971618848,106722777.94088006,146.16000000001225,0.02795212627256244
no_tls_10_708B,sleep,28108074,5.240745795078919,147307270.62326708,281080.74010973854,0.007085479719745435
no_tls_10_708B,modem,1327580,29810.424964963357,39575723974.98605,13275.80000024336,1.903592323231724
no_tls_10_708B,system,563735,3114.909511967262,1755983513.7288644,5637.35000007663,0.08446280701150649
no_tls_10_1024B,total,31017510,2209.3153982636436,68527462458.796555,310175.1001368348,3.296170945722231
no_tls_10_1024B,setup,1003447,24702.307296393345,24787456149.644012,10034.470000172609,1.192276640818386
no_tls_10_1024B,compute,14667,39655.871602313346,106931116.00724456,146.67000000001178,0.027976531368855594
no_tls_10_1024B,sleep,28052295,5.199185182524659,145849076.49981058,280522.95010921906,0.007015340582372247
no_tls_10_1024B,modem,1365803,30528.355939893034,41695720127.77373,13658.030000251703,2.0055641381828764
no_tls_10_1024B,system,581298,3081.9063343634966,1791505988.3528318,5812.9800000804635,0.08617143804096399
no_tls_10_1416B,total,31176504,3330.2772261579235,103826401262.4214,311765.0401383155,4.9940499029380945
no_tls_10_1416B,setup,1173176,26246.943891117557,30792284646.40573,11731.760000209657,1.4811088915185842
no_tls_10_1416B,compute,3928,26374.965776822388,14485186.231023166,39.2800000000008,0.004983201633982437
no_tls_10_1416B,sleep,25607762,28.30687290124977,724875664.2194536,256077.62008645257,0.03486651946072676
no_tls_10_1416B,modem,2562374,26506.344059258307,67919166852.49794,25623.73999883219,3.26691192545626
no_tls_10_1416B,system,1829264,2391.994218388591,4375588911.906387,18292.640000005686,0.21046582666276265
no_tls_10_2048B,total,31096394,2411.9657786464218,75003438167.30592,310963.94013756944,3.6076653774434346
no_tls_10_2048B,setup,1082309,25230.174104383495,27306844504.741196,10823.090000189823,1.3134592207010878
no_tls_10_2048B,compute,14689,30950.215626472927,110287396.69926377,146.89000000001158,0.021867593203923973
no_tls_10_2048B,sleep,27896124,5.334804642898664,148820371.83407685,278961.2401077646,0.007158259887984381
no_tls_10_2048B,modem,1499163,30416.51935580336,45599320407.004234,14991.630000280813,2.1933273116179874
no_tls_10_2048B,system,604109,3042.7712322343764,1838165486.3338768,6041.090000085443,0.08841575989390998
no_tls_15_256B,total,31050502,2164.7688027303,67217158038.7148,310505.02013714204,3.2331453030901782
no_tls_15_256B,setup,1033014,24670.147876548795,25484608138.545177,10330.140000179063,1.225809651485271
no_tls_15_256B,compute,15297,47217.458140995805,135374099.99034578,152.97000000001228,0.03474193049049608
no_tls_15_256B,sleep,28103272,5.169237232066625,145272479.9652955,281032.7201096938,0.006987606289058142
no_tls_15_256B,modem,1327748,29892.007312984195,39689052925.80014,13277.480000243397,1.9090434457659822
no_tls_15_256B,system,571171,3086.379374748038,1762850393.8542118,5711.710000078253,0.08479310394554927
no_tls_15_708B,total,30963171,2077.6734143801305,64331357211.60584,309631.7101363287,3.094338283240656
no_tls_15_708B,setup,945684,24312.248567025956,22991704473.859375,9456.84000016,1.1059009852113464
no_tls_15_708B,compute,15300,46919.78425727744,135102017.86942536,153.00000000001225,0.03452967682846095
no_tls_15_708B,sleep,28116977,5.161728921383762,145132213.36278206,281169.77010982146,0.006980859465476454
no_tls_15_708B,modem,1306660,30049.911764579057,39265017706.30487,13066.600000238794,1.8886473517077795
no_tls_15_708B,system,578550,3101.548353005227,1794400799.631174,5785.500000079864,0.0863106784634509
no_tls_15_1024B,total,31044947,2259.7064054453026,70152465592.60992,310449.4701370903,3.3743335964945973
no_tls_15_1024B,setup,1027387,24530.444365668525,25202259645.51109,10273.870000177834,1.2122286889700664
no_tls_15_1024B,compute,15370,47302.74837661898,137262097.55094177,153.7000000000116,0.034970779966591925
no_tls_15_1024B,sleep,28002413,5.112903292831771,143173629.63493517,280024.1301087545,0.006886651588114988
no_tls_15_1024B,modem,1416655,30265.62845367962,42875953877.0475,14166.550000262803,2.062333381524243
no_tls_15_1024B,system,583122,3076.228202943939,1793816342.1570756,5831.220000080862,0.0862825660589518
no_tls_15_1416B,total,31124044,2344.67673734132,72975821938.78769,311240.44013782695,3.5101370368100855
no_tls_15_1416B,setup,1106491,25763.00245897286,28506530353.83134,11064.910000195101,1.3711641100434642
no_tls_15_1416B,compute,15368,44022.629274326144,135095990.44896096,153.68000000001163,0.03254156277768777
no_tls_15_1416B,sleep,28031996,5.092848090372222,142762697.29792175,280319.96010903,0.0068668857427009004
no_tls_15_1416B,modem,1398298,30341.779369793217,42426849409.223114,13982.980000258796,2.0407314566214017
no_tls_15_1416B,system,571891,3085.524142350822,1764583487.293154,5718.91000007841,0.08487646573996441
no_tls_15_2048B,total,31043069,2257.054009079698,70065883340.58769,310430.6901370728,3.370168990170389
no_tls_15_2048B,setup,1025453,24695.489251048297,25324063538.95523,10254.530000177412,1.2180874562448205
no_tls_15_2048B,compute,15428,35949.209261431475,130991498.48050572,154.28000000001109,0.026677433663347964
no_tls_15_2048B,sleep,28020116,5.128544813755677,143702420.59263247,280201.1601089194,0.006912086433192477
no_tls_15_2048B,modem,1419938,30085.54097157545,42719602876.0969,14199.38000026352,2.0548128983783953
no_tls_15_2048B,system,562134,3108.73031302246,1747523005.7805676,5621.34000007628,0.08405585657918592
no_tls_20_256B,total,31086930,2112.8455740632694,65681882461.714676,310869.3001374813,3.1592985478056685
no_tls_20_256B,setup,958049,25058.08418907223,24006872499.256462,9580.4900001627,1.1547305672338457
no_tls_20_256B,compute,37585,42145.561036910556,906985400.9274598,375.8499999999481,0.0761923678466163
no_tls_20_256B,sleep,28147287,5.1524915967603535,145028659.73910195,281472.87011010374,0.006975878536179557
no_tls_20_256B,modem,1287144,30022.196666109558,38642890305.60292,12871.440000234534,1.8587230237333687
no_tls_20_256B,system,656865,3014.478767524204,1980105595.6297865,6568.650000096958,0.09524307915119856
no_tls_20_708B,total,31124602,2142.1512910300935,66673606357.09783,311246.02013783215,3.207000467196593
no_tls_20_708B,setup,995808,24907.161712754747,24802750890.854877,9958.080000170941,1.193012317870599
no_tls_20_708B,compute,37577,43268.93222316833,932142349.5761871,375.7699999999482,0.07820659164180405
no_tls_20_708B,sleep,28127477,5.202948294549376,146345808.4871268,281274.77010991925,0.007039233390981658
no_tls_20_708B,modem,1298622,29877.826101255967,38800002287.26523,12986.22000023704,1.8662801100515227
no_tls_20_708B,system,665118,2995.506091221152,1992365020.3808303,6651.18000009876,0.09583275748174089
no_tls_20_1024B,total,31122661,2211.008958746169,68812482291.02,311226.6101378141,3.3098803996637076
no_tls_20_1024B,setup,994185,24820.384997817633,24676054459.055325,9941.850000170587,1.1869182195009267
no_tls_20_1024B,compute,37527,43221.47849830531,927749883.8140925,375.26999999994865,0.07801687357543327
no_tls_20_1024B,sleep,28051551,5.75698218907471,161492279.48292089,280515.51010921213,0.007767778646152696
no_tls_20_1024B,modem,1356268,30219.166883067417,40985289030.16408,13562.680000249622,1.9713924023871756
no_tls_20_1024B,system,683130,3018.307844430462,2061896637.7657814,6831.300000102691,0.09917722827802494
no_tls_20_1416B,total,31257206,2323.351939721559,72621490190.37636,312572.0601390671,3.4930936797112224
no_tls_20_1416B,setup,1128688,24815.74419003481,28009232678.36201,11286.880000199946,1.3472440918530788
no_tls_20_1416B,compute,37532,43125.26884531354,925378218.7886115,375.3199999999486,0.07785358209353034
no_tls_20_1416B,sleep,28059108,5.728871441956249,160747022.50796613,280591.0801092825,0.007731931785644545
no_tls_20_1416B,modem,1369475,30317.529120374405,41519098192.12474,13694.750000252505,1.9970686230780217
no_tls_20_1416B,system,662403,3029.929028018685,2007034077.9466612,6624.030000098167,0.09653833915066508
no_tls_20_2048B,total,31213976,2411.8884596825583,75284628495.20834,312139.7601386645,3.621190632228193
no_tls_20_2048B,setup,1085376,25699.68236220444,27893818443.560005,10853.760000190492,1.3416926671587839
no_tls_20_2048B,compute,37621,42496.2179839356,910875619.1505078,376.2099999999478,0.07689988542680147
no_tls_20_2048B,sleep,27920995,6.1300216223467165,171156303.06743455,279209.95010799624,0.008232618180727914
no_tls_20_2048B,modem,1455925,30338.534397580137,44170630692.79686,14559.250000271375,2.12460733636313
no_tls_20_2048B,system,714059,2994.356819254347,2138147435.9999397,7140.590000109442,0.1028448916731734
no_tls_25_256B,total,34814760,2459.4979260095656,85626830014.52078,348147.6001721994,4.1186505257356005
no_tls_25_256B,setup,1129195,26427.637313852993,29841955916.61623,11291.950000200057,1.435398079614671
no_tls_25_256B,compute,751321,17216.16721117849,7424648966.883127,7513.210000113655,0.6221671491388907
no_tls_25_256B,sleep,28060700,5.6008211071801295,157162960.84224945,280607.00010929734,0.007559538419456664
no_tls_25_256B,modem,1320965,29790.9857443487,39352849483.783585,13209.650000241916,1.8928720602046556
no_tls_25_256B,system,3552579,2491.2078479903776,8850212685.405807,35525.78999825043,0.42569523014705474
no_tls_25_708B,total,34892748,2515.0307317521288,87756333535.28262,348927.48017292575,4.221079645139028
no_tls_25_708B,setup,1203420,25657.51551076919,30876767315.96986,12034.200000216259,1.4851725079248392
no_tls_25_708B,compute,752071,17129.023534229236,7370848220.921283,7520.710000113817,0.6196358333989618
no_tls_25_708B,sleep,28024627,5.481062294015019,153604726.35353523,280246.2701089614,0.007388387340477693
no_tls_25_708B,modem,1351785,29963.27468454133,40503905269.4427,13517.850000248643,1.9482378434960292
no_tls_25_708B,system,3560845,2485.704376865079,8851208001.838133,35608.44999826727,0.42574310486769723
no_tls_25_1024B,total,34819218,2584.0896723842116,89975981634.29445,348192.18017224094,4.327844718750426
no_tls_25_1024B,setup,1127418,25987.330152012604,29298583785.321747,11274.180000199669,1.4092618800989343
no_tls_25_1024B,compute,752028,17544.56616883092,7694360641.845054,7520.280000113801,0.6346316408373367
no_tls_25_1024B,sleep,27928019,5.30225829380364,148081570.37225565,279280.19010806165,0.007122723537661487
no_tls_25_1024B,modem,1444705,30439.169051505505,43975619724.55526,14447.050000268926,2.115227308790482
no_tls_25_1024B,system,3567048,2483.660413712492,8859335911.412317,35670.47999827991,0.4261340573183835
no_tls_25_1416B,total,34793272,2530.0156590978745,88027522991.25162,347932.7201719993,4.234123857972326
no_tls_25_1416B,setup,1103103,25275.827704383693,27881841368.188766,11031.030000194361,1.3411165698335095
no_tls_25_1416B,compute,752192,17468.16087382947,7660774839.280897,7521.92000011384,0.6320056625683275
no_tls_25_1416B,sleep,27942498,5.192933600852618,145103536.7559571,279424.9801081965,0.006979480120664069
no_tls_25_1416B,modem,1434707,30306.766424360107,43481329936.39442,14347.070000266744,2.0914519699794556
no_tls_25_1416B,system,3560772,2487.7957110751413,8858473309.716454,35607.71999826712,0.4260925661766252
no_tls_25_2048B,total,34666421,2426.502255901175,84118148760.51987,346664.2101708179,4.046082957374702
no_tls_25_2048B,setup,973448,24479.07030956861,23829102034.708946,9734.48000016606,1.1461798078890528
no_tls_25_2048B,compute,752628,17493.903022903633,7678722957.806633,7526.280000113928,0.6333038998614705
no_tls_25_2048B,sleep,27922076,5.181453947588434,144676950.91506428,279220.7601080063,0.006958961341706409
no_tls_25_2048B,modem,1444255,30191.12634472409,43603685178.99949,14442.550000268828,2.097337257148914
