Configuration,sum,comp,send,sleep,system,modem,system
10 256B,100.0\%,0.0\%,0.06\%,0.08\%,1.45\%,35.33\%,63.08\%
10 708B,100.0\%,0.0\%,0.1\%,0.08\%,1.35\%,34.35\%,64.12\%
10 1024B,100.0\%,0.0\%,0.08\%,0.07\%,1.14\%,30.14\%,68.57\%
10 1416B,100.0\%,0.0\%,0.08\%,0.07\%,1.25\%,32.51\%,66.08\%
10 2048B,100.0\%,0.0\%,0.11\%,0.07\%,1.2\%,31.45\%,67.17\%
15 256B,100.0\%,0.05\%,0.06\%,0.06\%,1.05\%,32.65\%,66.12\%
15 708B,100.0\%,0.06\%,0.07\%,0.07\%,1.18\%,30.3\%,68.33\%
15 1024B,100.0\%,0.04\%,0.08\%,0.07\%,1.18\%,30.62\%,68.0\%
15 1416B,100.0\%,0.07\%,0.1\%,0.07\%,1.25\%,32.22\%,66.3\%
15 2048B,100.0\%,0.05\%,0.12\%,0.08\%,1.39\%,36.66\%,61.69\%
20 256B,100.0\%,1.88\%,0.07\%,0.08\%,1.34\%,34.11\%,62.52\%
20 708B,100.0\%,1.73\%,0.08\%,0.07\%,1.33\%,33.45\%,63.34\%
20 1024B,100.0\%,1.56\%,0.08\%,0.07\%,1.14\%,28.97\%,68.17\%
20 1416B,100.0\%,1.55\%,0.09\%,0.07\%,1.17\%,30.21\%,66.91\%
20 2048B,100.0\%,1.6\%,0.11\%,0.07\%,1.16\%,31.25\%,65.81\%
25 256B,100.0\%,17.09\%,0.08\%,0.06\%,1.24\%,23.53\%,58.0\%
25 708B,100.0\%,15.4\%,0.09\%,0.06\%,1.31\%,27.54\%,55.6\%
25 1024B,100.0\%,15.57\%,0.08\%,0.05\%,1.29\%,26.74\%,56.27\%
25 1416B,100.0\%,15.04\%,0.08\%,0.05\%,1.28\%,25.68\%,57.86\%
25 2048B,100.0\%,16.54\%,0.09\%,0.06\%,1.3\%,24.91\%,57.11\%
