Configuration,sum,comp,send,sleep,system,modem,system
10 256B,100.0\%,0.0\%,0.07\%,0.06\%,1.41\%,30.36\%,68.09\%
10 708B,100.0\%,0.0\%,0.12\%,0.07\%,1.57\%,34.08\%,64.16\%
10 1024B,100.0\%,0.0\%,0.12\%,0.07\%,1.57\%,34.31\%,63.93\%
10 1416B,100.0\%,0.0\%,0.15\%,0.06\%,1.46\%,31.37\%,66.95\%
10 2048B,100.0\%,0.0\%,0.15\%,0.06\%,1.35\%,32.36\%,66.08\%
15 256B,100.0\%,0.07\%,0.09\%,0.07\%,1.62\%,33.36\%,64.8\%
15 708B,100.0\%,0.07\%,0.11\%,0.07\%,1.49\%,31.49\%,66.78\%
15 1024B,100.0\%,0.05\%,0.11\%,0.06\%,1.35\%,29.22\%,69.21\%
15 1416B,100.0\%,0.07\%,0.17\%,0.08\%,1.56\%,31.21\%,66.92\%
15 2048B,100.0\%,0.06\%,0.17\%,0.06\%,1.27\%,25.38\%,73.06\%
20 256B,100.0\%,1.66\%,0.07\%,0.06\%,1.32\%,29.59\%,67.3\%
20 708B,100.0\%,1.9\%,0.11\%,0.07\%,1.32\%,27.4\%,69.21\%
20 1024B,100.0\%,1.84\%,0.12\%,0.06\%,1.37\%,29.29\%,67.32\%
20 1416B,100.0\%,1.73\%,0.13\%,0.06\%,1.29\%,28.6\%,68.19\%
20 2048B,100.0\%,1.61\%,0.15\%,0.06\%,1.24\%,28.8\%,68.15\%
25 256B,100.0\%,17.63\%,0.1\%,0.05\%,1.68\%,30.15\%,50.39\%
25 708B,100.0\%,14.08\%,0.08\%,0.04\%,1.31\%,24.69\%,59.79\%
25 1024B,100.0\%,16.14\%,0.09\%,0.05\%,1.38\%,24.88\%,57.46\%
25 1416B,100.0\%,14.65\%,0.09\%,0.04\%,1.28\%,23.23\%,60.72\%
25 2048B,100.0\%,16.37\%,0.1\%,0.05\%,1.49\%,24.92\%,57.06\%
