Label, Section, Number of samples, Average Current (uA), Total Current (uA) ,Total time(ms)
no_tls_20_256B,total,13087888,3114.5140079483663,40762410510.45933,130878.87
no_tls_20_256B,setup,1038377,25393.04288109827,26367551687.746178,10383.76
no_tls_20_256B,compute,45658,18646.953538968348,851382604.6822168,456.57999999999447
no_tls_20_256B,send,4061,7210.46261183531,29281688.666663192,40.61000000001695
no_tls_20_256B,sleep,11999792,1126.2023983302522,13514194529.864174,119997.91999999998
no_tls_20_256B,modem,1413540,28092.37648234,39709697852.846886,14135.399999999989
no_tls_20_256B,system_above_10uA,1405093,9596.080737648675,13483385871.90499,13483385871.90499
no_tls_20_256B,system_above_20uA,1287883,10468.150329162907,13481752850.373312,13481752850.373312
no_tls_20_256B,system_above_40uA,626815,21478.169424840096,13462838768.031145,13462838768.031145
no_tls_20_256B,system_above_80uA,625424,21525.817684804446,13462762999.701136,13462762999.701136
no_tls_20_256B,system_above_160uA,623687,21585.433131359736,13462554033.39836,13462554033.39836
no_tls_20_512B,total,13085624,3093.1788114472142,40476174891.36514,130856.27
no_tls_20_512B,setup,1036106,24438.52580972105,25320903222.60684,10361.049999999996
no_tls_20_512B,compute,46006,18691.19930351666,859907315.1575875,460.06000000000495
no_tls_20_512B,send,3726,7693.013544258185,28664168.465905998,37.2599999999984
no_tls_20_512B,sleep,11999786,1188.9128844155264,14266700185.629051,119997.9
no_tls_20_512B,modem,1429954,27562.661991494202,39413338765.3851,14299.539999999912
no_tls_20_512B,system_above_10uA,1454585,9786.995563195765,14236016941.291113,14236016941.291113
no_tls_20_512B,system_above_20uA,1331489,10690.508747511767,14234294801.715694,14234294801.715694
no_tls_20_512B,system_above_40uA,653261,21759.96007224549,14214933276.75516,14214933276.75516
no_tls_20_512B,system_above_80uA,651605,21815.12778584425,14214846340.895044,14214846340.895044
no_tls_20_512B,system_above_160uA,649335,21890.96104190454,14214567188.145082,14214567188.145082
no_tls_10_256B,total,13038921,3323.5058916498306,43334930764.2567,130389.20000000001
no_tls_10_256B,setup,1035395,25532.80498272834,26436538615.09201,10353.939999999999
no_tls_10_256B,compute,45,12986.135219280704,584376.0848676317,0.4499999999970896
no_tls_10_256B,send,3699,7024.104029854723,25982160.80643262,36.9900000000016
no_tls_10_256B,sleep,11999782,1406.0110102465776,16871825612.558697,119997.82
no_tls_10_256B,modem,1385600,28236.672827451097,39124733869.71624,13856.000000000016
no_tls_10_256B,system_above_10uA,2932344,5744.679179489708,16845375523.90157,16845375523.90157
no_tls_10_256B,system_above_20uA,2819444,5974.15116502567,16843784657.324635,16843784657.324635
no_tls_10_256B,system_above_40uA,2125501,7915.280647804354,16823936932.188803,16823936932.188803
no_tls_10_256B,system_above_80uA,2124072,7920.569870048325,16823860685.013287,16823860685.013287
no_tls_10_256B,system_above_160uA,2122078,7927.899685503015,16823621508.812866,16823621508.812866
no_tls_10_512B,total,13082307,3716.2418286693664,48617016488.89405,130823.06
no_tls_10_512B,setup,1078771,25224.746870489103,27211725406.2244,10787.699999999995
no_tls_10_512B,compute,44,13158.074211398896,578955.2653015514,0.4400000000005093
no_tls_10_512B,send,3702,7349.029509105139,27206107.242707226,37.020000000002256
no_tls_10_512B,sleep,11999790,1781.4900111279044,21377506020.632515,119997.9
no_tls_10_512B,modem,1772185,27064.40892684609,47963139534.022736,17721.839999999975
no_tls_10_512B,system_above_10uA,1928608,11069.218186920552,21348182749.040474,21348182749.040474
no_tls_10_512B,system_above_20uA,1805578,11822.499259470413,21346444567.91607,21346444567.91607
no_tls_10_512B,system_above_40uA,893972,23848.55516506763,21319940558.02584,21319940558.02584
no_tls_10_512B,system_above_80uA,892010,23900.901409305738,21319843066.11481,21319843066.11481
no_tls_10_512B,system_above_160uA,890164,23950.219336372134,21319623045.342365,21319623045.342365
tls_10_512B,total,13060309,3247.9181281439605,42418814360.26172,130603.12000000001
tls_10_512B,setup,1056483,24256.348139617214,25626419451.58721,10564.82
tls_10_512B,compute,45,18980.874994279195,854139.3747425638,0.45000000000982254
tls_10_512B,send,3997,7660.408245449592,30618651.757062018,39.970000000001164
tls_10_512B,sleep,11999784,1396.7686516713927,16760922118.027952,119997.87999999999
tls_10_512B,modem,1475863,27870.225359176296,41132634409.270004,14758.629999999934
tls_10_512B,system_above_10uA,1691023,9893.924291713918,16730853537.546946,16730853537.546946
tls_10_512B,system_above_20uA,1564598,10692.245414012543,16729065790.273197,16729065790.273197
tls_10_512B,system_above_40uA,756834,22073.333995650068,16705849661.263824,16705849661.263824
tls_10_512B,system_above_80uA,755141,22122.708214341743,16705764003.686237,16705764003.686237
