Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_10_256B,total,31160546,2220.342511321731,69187084959.79631,311605.4601381669,3.3278987880418036
no_tls_10_256B,setup,1146556,26188.053365834585,30026069714.91784,11465.560000203846,1.4442539533132253
no_tls_10_256B,compute,14600,39746.854945477964,106787176.65685189,146.0000000000124,0.027912626354013724
no_tls_10_256B,sleep,26188172,3.4276429352701427,89763702.74343936,261881.72009185806,0.004317634103473894
no_tls_10_256B,modem,1244544,29842.454977746333,37140248287.82433,12445.440000225235,1.7864459426766808
no_tls_10_256B,system,2566674,710.731505810859,1824216076.9455805,25666.739998825306,0.0877447932970666
no_tls_10_708B,total,31037528,2122.503089080149,65877249057.41162,310375.2801370212,3.168695681060381
no_tls_10_708B,setup,1023525,24613.047315041666,25192069253.12802,10235.250000176991,1.2117385310964115
no_tls_10_708B,compute,14611,30893.11599887654,107373275.47569178,146.1100000000123,0.021711345189047868
no_tls_10_708B,sleep,26129063,3.366583876601329,87965682.20650035,261290.63009130757,0.004231149315611234
no_tls_10_708B,modem,1285891,30064.012079563923,38659042557.00253,12858.91000023426,1.8594999470256974
no_tls_10_708B,system,2584438,708.3931938236427,1830798289.0591874,25844.37999879687,0.08806139769964741
no_tls_10_1024B,total,31105768,2200.9729890793997,68462955172.570335,311057.68013765675,3.293068145257961
no_tls_10_1024B,setup,1091708,25672.055614489014,28026388490.782574,10917.080000191874,1.3480692864303347
no_tls_10_1024B,compute,14662,39318.91870519343,106990437.27375242,146.62000000001183,0.027729360729273997
no_tls_10_1024B,sleep,26144309,3.3251544472238472,86933865.34094445,261443.09009144956,0.004181518924362071
no_tls_10_1024B,modem,1280711,29994.61073572442,38414427909.96036,12807.11000023313,1.8477339825027272
no_tls_10_1024B,system,2574378,710.1577424308931,1828214468.6437578,25743.779998812974,0.08793711593771003
no_tls_10_1416B,total,31083745,2177.8872031251267,67696890460.704636,310837.45013745164,3.2562204325997866
no_tls_10_1416B,setup,1069705,24511.821287261035,26220417790.089565,10697.050000187071,1.261202095725364
no_tls_10_1416B,compute,14648,30142.049625869404,109030987.60946001,146.48000000001196,0.02123714773444099
no_tls_10_1416B,sleep,26100587,3.3138762658547307,86494115.78417653,261005.87009104236,0.004160366970670083
no_tls_10_1416B,modem,1303744,30269.632908949337,39463852287.24525,13037.440000238157,1.8982112950511707
no_tls_10_1416B,system,2595061,700.2129350495169,1817095279.4425342,25950.609998779866,0.08740228293707646
no_tls_10_2048B,total,31050782,2158.5578583676097,67024909494.559525,310507.82013714465,3.22389814811224
no_tls_10_2048B,setup,1036699,24920.605392873156,25835166690.186207,10366.990000179867,1.2426715178195167
no_tls_10_2048B,compute,14683,30567.123531965794,110040469.04062293,146.83000000001164,0.021588101298836673
no_tls_10_2048B,sleep,26138629,3.284973895526982,85864713.92986454,261386.29009139666,0.004130092741470617
no_tls_10_2048B,modem,1296845,30224.622952621143,39196651152.99197,12968.450000236651,1.8853589204933177
no_tls_10_2048B,system,2563926,700.9509899553057,1797186467.872147,25639.259998829704,0.08644466910070453
no_tls_15_256B,total,31142073,2191.4912122390683,68247579310.407555,311420.73013799486,3.282708566285217
no_tls_15_256B,setup,1124590,25263.666266306638,28411266446.42578,11245.900000199052,1.3665819160972683
no_tls_15_256B,compute,15295,44032.231794428866,133039356.29565641,152.9500000000123,0.03239405059273008
no_tls_15_256B,sleep,26119558,3.2837160585794867,85769212.0475983,261195.58009121905,0.004125499100930252
no_tls_15_256B,modem,1268158,29782.995694593283,37769544254.064026,12681.58000023039,1.8167150786534842
no_tls_15_256B,system,2614472,706.8195953069788,1847960040.9814277,26144.719998748795,0.0888868779669528
no_tls_15_708B,total,31053308,2092.998135490093,64994515744.79958,310533.0801371682,3.126236208705776
no_tls_15_708B,setup,1035793,24814.985275692878,25703188043.665752,10357.93000017967,1.2363233449217679
no_tls_15_708B,compute,15326,35699.379981106154,128094776.24687377,153.260000000012,0.026316890354101882
no_tls_15_708B,sleep,26138645,3.2634035028008546,85300945.65146804,261386.4500913968,0.004102975487270266
no_tls_15_708B,modem,1249688,29801.483103916355,37242555817.16702,12496.880000226358,1.7913669348381809
no_tls_15_708B,system,2613856,702.171872321807,1835376161.499589,26138.55999874978,0.08828159336390767
no_tls_15_1024B,total,30995644,2117.8296930821,65643495219.40205,309956.44013663114,3.157452121445067
no_tls_15_1024B,setup,978088,24081.02517440061,23553361750.779144,9780.880000167073,1.1329167002318288
no_tls_15_1024B,compute,15366,35750.15461207397,128801583.50632131,153.66000000001165,0.02642310372449709
no_tls_15_1024B,sleep,26037439,3.2607068769029013,84900456.4042398,260374.39009045425,0.0040837119544626195
no_tls_15_1024B,modem,1333117,30023.817650148867,40025261714.31351,13331.170000244569,1.925215088493799
no_tls_15_1024B,system,2631634,703.4297755036486,1851169713.8277686,26316.339998721323,0.08904126323078927
no_tls_15_1416B,total,31112800,2252.817101016383,70091447900.50252,311128.00013772224,3.371398645506536
no_tls_15_1416B,setup,1095254,25278.852011212468,27686763780.6885,10952.540000192648,1.331733337874541
no_tls_15_1416B,compute,15360,35795.874597778995,128962740.42149255,153.6000000000117,0.0264465648868347
no_tls_15_1416B,sleep,26092232,3.2486973343105023,84765764.54461119,260922.32009096455,0.004077233276017231
no_tls_15_1416B,modem,1337440,30178.03647133835,40361313098.22676,13374.400000245512,1.9413791600603447
no_tls_15_1416B,system,2572514,711.2274280764248,1829642515.9105957,25725.139998815957,0.08800580501124902
no_tls_15_2048B,total,31109230,2249.494330146131,69980036500.21191,311092.300137689,3.366039757149997
no_tls_15_2048B,setup,1091635,25742.097154501807,28100974227.25458,10916.350000191858,1.351656860354701
no_tls_15_2048B,compute,15409,47285.68445106619,138459840.08000028,154.09000000001126,0.03504686787308419
no_tls_15_2048B,sleep,26121146,3.2642805737691236,85266749.45238705,261211.46009123384,0.004101330650092297
no_tls_15_2048B,modem,1315750,30245.45383533663,39795455883.84417,13157.500000240778,1.9141614280479329
no_tls_15_2048B,system,2565290,725.01736602077,1859879798.8794212,25652.89999882752,0.08946021832201131
no_tls_20_256B,total,31160069,2096.1131034350738,65315028934.84104,311600.69013816246,3.141652893158849
no_tls_20_256B,setup,1031255,24645.204396150773,25415490259.552467,10312.550000178679,1.2224850815056547
no_tls_20_256B,compute,37570,42440.38630519394,913561815.9596913,375.69999999994826,0.07669474357867259
no_tls_20_256B,sleep,26206746,3.2871738057741013,86146128.9857752,262067.46009203105,0.004143628805670919
no_tls_20_256B,modem,1236682,29825.474523913414,36884627485.18229,12366.820000223519,1.7741505820693344
no_tls_20_256B,system,2647816,761.081300438229,2015203244.6011498,26478.15999869542,0.0969312760605395
