Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_10_256B,total,31248453,2355.812399672097,73615493047.97073,312484.5301389856,3.540905217182301
no_tls_10_256B,setup,1234470,27048.757305215928,33390879430.569904,12344.700000223036,1.6061013006394305
no_tls_10_256B,compute,14601,39881.85723676103,106928221.38432902,146.01000000001238,0.028009351380423264
no_tls_10_256B,sleep,26150206,3.533993118760156,92414648.05816054,261502.06009150448,0.004445144573152961
no_tls_10_256B,modem,1271115,30051.294992609437,38198651834.53075,12711.150000231035,1.837355153274324
no_tls_10_256B,system,2578061,708.5243183713094,1826618912.7446563,25780.60999880708,0.08786036969895249
no_tls_10_708B,total,31138388,2254.5944323062376,70204436215.79137,311383.88013796054,3.376833383475691
no_tls_10_708B,setup,1124397,25889.42748364424,29109994594.32713,11243.97000019901,1.4001907400119171
no_tls_10_708B,compute,14603,30846.522272486316,107088052.80911271,146.03000000001236,0.021666729884241995
no_tls_10_708B,sleep,26097874,3.3915853793717967,88513167.89108735,260978.7400910171,0.004257483377046111
no_tls_10_708B,modem,1301244,30036.63557156343,39084991817.68349,13012.440000237611,1.8799881064649047
no_tls_10_708B,system,2600270,697.5616310325238,1813848582.3249407,26002.699998771528,0.08724611680570779
no_tls_10_1024B,total,31017510,2209.3153982636436,68527462458.796555,310175.1001368348,3.296170945722231
no_tls_10_1024B,setup,1003447,24702.307296393345,24787456149.644012,10034.470000172609,1.192276640818386
no_tls_10_1024B,compute,14667,39655.871602313346,106931116.00724456,146.67000000001178,0.027976531368855594
no_tls_10_1024B,sleep,26041012,3.3414122697035404,87013757.01229714,260410.12009048753,0.004185361713745824
no_tls_10_1024B,modem,1365803,30528.355939893034,41695720127.77373,13658.030000251703,2.0055641381828764
no_tls_10_1024B,system,2592581,713.7062671682648,1850341307.8413672,25925.809998783836,0.08900141690299476
no_tls_10_1416B,total,31214761,2363.282675410814,73769303888.38914,312147.6101386718,3.5483035186078538
no_tls_10_1416B,setup,1200726,25825.57014543341,31009433538.445675,12007.26000021567,1.4915537532260275
no_tls_10_1416B,compute,14642,30409.93046152894,108746842.99280703,146.420000000012,0.02141711190743345
no_tls_10_1416B,sleep,26019433,3.3104189340477483,86135223.65638681,260194.33009028656,0.004143104259309849
no_tls_10_1416B,modem,1358385,29979.28789153685,40723414982.54528,13583.850000250084,1.9587962606964902
no_tls_10_1416B,system,2621575,702.4682872014434,1841573300.020124,26215.749998737425,0.08857967572670189
no_tls_10_2048B,total,31211941,2440.3355227608354,76167608356.61536,312119.41013864556,3.663661963580622
no_tls_10_2048B,setup,1197852,26129.48224827942,31299252570.065998,11978.520000215043,1.505494048647202
no_tls_10_2048B,compute,14689,30274.02096113229,110169031.6725216,146.89000000001158,0.02138983401649896
no_tls_10_2048B,sleep,26005406,3.2798663074222327,85294254.95023598,260054.06009015592,0.004102653664528664
no_tls_10_2048B,modem,1404878,30503.13282742764,42853180240.33089,14048.780000260233,2.0612379695980967
no_tls_10_2048B,system,2589116,702.8314910903118,1819712258.885784,25891.159998789382,0.08752815964831356
no_tls_15_256B,total,31139476,2219.766606464321,69122368967.59717,311394.7601379707,3.324785948814547
no_tls_15_256B,setup,1121972,25401.021547569064,28499234947.769157,11219.72000019848,1.3708132010119463
no_tls_15_256B,compute,15314,35628.992322513346,127579200.18330869,153.1400000000121,0.026244436883339297
no_tls_15_256B,sleep,26101643,3.286509742818258,85783304.02306399,261016.4300910522,0.0041261769249487405
no_tls_15_256B,modem,1288430,29934.76111926663,38568844268.896706,12884.300000234814,1.855161409367741
no_tls_15_256B,system,2612117,704.7644672769048,1840927245.9699469,26121.169998752564,0.08854860052692573
no_tls_15_708B,total,30984911,2063.709755836116,63943863114.41379,309849.1101365312,3.0756998171585717
no_tls_15_708B,setup,967404,24425.062336839736,23628903004.908108,9674.040000164741,1.1365502345554344
no_tls_15_708B,compute,15321,35699.24543006654,128006043.11758652,153.21000000001206,0.026308205497159853
no_tls_15_708B,sleep,26077048,3.270664520897582,85289275.70334324,260770.48009082314,0.004102414162759631
no_tls_15_708B,modem,1284081,29790.798374742077,38253798167.83718,12840.810000233865,1.8400076919064796
no_tls_15_708B,system,2641057,699.6693453759517,1847866622.290575,26410.56999870624,0.08888238452782261
no_tls_15_1024B,total,31044947,2259.7064054453026,70152465592.60992,310449.4701370903,3.3743335964945973
no_tls_15_1024B,setup,1027387,24530.444365668525,25202259645.51109,10273.870000177834,1.2122286889700664
no_tls_15_1024B,compute,15370,47302.74837661898,137262097.55094177,153.7000000000116,0.034970779966591925
no_tls_15_1024B,sleep,26012455,3.2735416519808664,85152854.91277795,260124.55009022157,0.004095852322725224
no_tls_15_1024B,modem,1416655,30265.62845367962,42875953877.0475,14166.550000262803,2.062333381524243
no_tls_15_1024B,system,2573080,719.6966735899848,1851837116.8809183,25730.79999881505,0.08907336531787018
no_tls_15_1416B,total,31029000,2189.855520926459,67949026958.8271,310290.0001369418,3.2683481981620193
no_tls_15_1416B,setup,1011444,24695.391303822915,24978005361.903866,10114.440000174354,1.2014420579282865
no_tls_15_1416B,compute,15365,47278.563823675024,137474902.39068076,153.65000000001166,0.034941529904554534
no_tls_15_1416B,sleep,26059213,3.2517240118300776,84737368.64149451,260592.13009065704,0.004075867433073834
no_tls_15_1416B,modem,1368892,29888.753044354587,40914474932.39264,13688.920000252378,1.9679862442843687
no_tls_15_1416B,system,2574086,712.6158150693827,1834334392.948687,25740.85999881344,0.08823148429676471
no_tls_15_2048B,total,31067862,2279.8473976716086,70829984331.92065,310678.6201373037,3.4069222478710643
no_tls_15_2048B,setup,1050248,26071.352435758283,27381385752.950264,10502.480000182824,1.3170446547398345
no_tls_15_2048B,compute,15424,35924.30744338563,130673154.88950834,154.24000000001112,0.026652042516128033
no_tls_15_2048B,sleep,26071724,3.264042784302996,85099222.59653924,260717.24009077356,0.0040932726083186865
no_tls_15_2048B,modem,1365112,30313.56899842121,41381416802.57278,13651.120000251552,1.990446148240429
no_tls_15_2048B,system,2565354,721.697433655172,1851409398.21703,25653.53999882742,0.08905279205016868
no_tls_20_256B,total,31281325,2260.8439046868293,70722192956.77773,312813.25013929175,3.4017374827357587
no_tls_20_256B,setup,1152469,26204.411374964795,30199771772.894302,11524.690000205137,1.452609022302072
no_tls_20_256B,compute,37573,42090.23584466259,905320547.0439513,375.72999999994823,0.07606805434992102
no_tls_20_256B,sleep,26182263,3.281732385202044,85923180.40497722,261822.63009180303,0.0041329049789285265
no_tls_20_256B,modem,1262843,29692.143030799252,37496514981.44362,12628.43000022923,1.8035823706401766
no_tls_20_256B,system,2646177,768.9064164085233,2034662474.252657,26461.769998698044,0.09786726500673759
no_tls_20_708B,total,31341310,2328.380003235049,72974479479.19067,313413.1001398504,3.510072464515327
no_tls_20_708B,setup,1212509,26102.642374469167,31649688802.825237,12125.090000218242,1.522350031443295
no_tls_20_708B,compute,37549,43152.27233089561,928830069.3200024,375.48999999994845,0.07793761680749896
no_tls_20_708B,sleep,26130488,3.3823530510770423,88382535.81293204,261304.88009132084,0.004251199974087741
no_tls_20_708B,modem,1277308,29939.28125900869,38241683466.381874,12773.080000232387,1.8394249747664335
no_tls_20_708B,system,2683456,769.863416467106,2065894604.0991545,26834.55999863837,0.09936953045212715
no_tls_20_1024B,total,31213378,2240.7821403320527,69942379961.8334,312133.78013865894,3.364228477658675
no_tls_20_1024B,setup,1084815,25863.66809225459,28057295101.49916,10848.15000019037,1.3495558944057922
no_tls_20_1024B,compute,37536,42231.74938337307,904682210.8307729,375.35999999994857,0.07624864644748096
no_tls_20_1024B,sleep,26143395,3.950244580745593,103272804.42104143,261433.95009144105,0.004967421894389534
no_tls_20_1024B,modem,1286053,30166.01641926263,38795095914.04196,12860.530000234296,1.8660441134994141
no_tls_20_1024B,system,2661579,782.2551689850377,2082033930.4120276,26615.78999867339,0.10014583204782694
no_tls_20_1416B,total,31209993,2312.8835132441827,72185078258.16635,312099.9301386274,3.472102265760027
no_tls_20_1416B,setup,1081457,26316.412273067606,28460068267.594875,10814.570000189637,1.368929283695318
no_tls_20_1416B,compute,37572,42643.02003922686,915480096.6009327,375.71999999994824,0.07706502870274469
no_tls_20_1416B,sleep,26109526,3.82151289909324,99777890.39821033,261095.26009112562,0.004799316529828939
no_tls_20_1416B,modem,1338345,30355.662981686393,40626349773.225075,13383.45000024571,1.9541274241280022
no_tls_20_1416B,system,2643093,788.244011746127,2083402229.738106,26430.92999870298,0.10021164724548531
no_tls_20_2048B,total,31100167,2298.2307662603657,71475360635.23534,311001.6701376046,3.437964848075968
no_tls_20_2048B,setup,971643,25912.305161702072,25177509924.231686,9716.430000165667,1.2110382273761926
no_tls_20_2048B,compute,37590,43493.551420751006,932753059.6251719,375.8999999999481,0.07863977695926919
no_tls_20_2048B,sleep,26020456,4.232605681649895,110134329.9047211,260204.5600902961,0.005297461270255407
no_tls_20_2048B,modem,1418179,30436.816770799727,43164854371.195984,14181.790000263136,2.0762294952930502
no_tls_20_2048B,system,2652299,788.0366993061493,2090108949.5330007,26522.989998688245,0.10053424046756516
no_tls_25_256B,total,34890120,2470.7665404082904,86205341086.83011,348901.20017290127,4.146476908331353
no_tls_25_256B,setup,1202018,25871.44469860545,31097942213.728325,12020.180000215953,1.495811020507206
no_tls_25_256B,compute,752118,17642.48516159523,7753037084.707469,7521.180000113828,0.6382499945040331
no_tls_25_256B,sleep,26108027,3.6456938632697833,95181873.8159818,261080.27009111166,0.004578248132146439
no_tls_25_256B,modem,1281639,29936.410764941487,38367671556.36884,12816.390000233332,1.8454850018949396
no_tls_25_256B,system,5546318,1603.1371366066544,8891508357.229946,55463.18000231221,0.42768155200059005
