Label,Section,Number of samples,Average Current (uA),Total Current (uA),Total time(ms),Energy consumption (joules)
no_tls_10_256B,total,31150538,2223.8349982286054,69278394408.69626,311505.3801380737,3.3251355191402596
no_tls_10_256B,setup,1136553,25989.831586093827,29575486332.423622,11365.536000201664,1.4178641593484531
no_tls_10_256B,compute,22,28834.640230774407,640856.5570831299,0.22200000000000006,0.00003072619262991322
no_tls_10_256B,send,14576,7297.814988064238,106375810.92999272,145.7640000000124,0.005106041778817374
no_tls_10_256B,sleep,26152252,3.478184959282545,90961937.52506255,261522.5280915235,0.0043661938738631225
no_tls_10_256B,modem,1259936,29903.4627624216,37678280156.6703,12599.360000228595,1.8084695644664641
no_tls_10_256B,system,2587197,706.0440703150119,1826649313.9272075,25871.969998792454,0.08768040482407342
no_tls_10_708B,total,31137367,2237.0124203749237,69661069677.01196,311373.676137951,3.3434245483122975
no_tls_10_708B,setup,1123369,25421.14445343808,28596071258.9246,11233.694000198786,1.370752118038915
no_tls_10_708B,compute,22,25391.085996363945,574501.3370513916,0.22600000000000006,0.000027544250088855616
no_tls_10_708B,send,14585,7309.365658506123,106611397.1869416,145.85600000001233,0.0051173512199383635
no_tls_10_708B,sleep,26105617,3.3820547875264992,88290300.07502599,261056.17409108923,0.0042379501603109744
no_tls_10_708B,modem,1303482,29951.98580159354,39040683319.793365,13034.828000238102,1.8740111193088584
no_tls_10_708B,system,2590289,706.0328787686242,1828838899.0449176,25902.897998787503,0.08778382868416307
no_tls_10_1024B,total,31043359,2201.593910550706,68351548963.636925,310433.5921370755,3.2805537891809613
no_tls_10_1024B,setup,1029302,25225.023630225987,26004793608.294952,10293.024000178253,1.2462805134287023
no_tls_10_1024B,compute,22,28803.484726706043,653066.9303894043,0.22600000000000006,0.000031246020231530723
no_tls_10_1024B,send,14637,7302.0403931072915,106885524.56322823,146.37800000001184,0.005130518729579258
no_tls_10_1024B,sleep,26061888,3.331731330947936,86830829.3372723,260618.88009068192,0.004167898023526503
no_tls_10_1024B,modem,1336412,30154.18643820508,40302354484.09619,13364.12800024529,1.9343251550564797
no_tls_10_1024B,system,2601095,711.2594145401005,1850031449.8028061,26010.955998770205,0.08880257920950532
no_tls_10_1416B,total,31134335,2487.4853395660352,77457546897.00093,311343.3541379228,3.7174177391491168
no_tls_10_1416B,setup,1122434,25517.93996042814,28666627817.79719,11224.340000198583,1.374825764258397
no_tls_10_1416B,compute,22,26661.502899953968,593031.9686889648,0.22200000000000006,0.000028410497490190954
no_tls_10_1416B,send,12484,6590.145208540057,88727700.12705402,124.84200000000969,0.003949089158998184
no_tls_10_1416B,sleep,21217781,5.259559002149688,73977946.79865146,212177.81607245406,0.005356616364385616
no_tls_10_1416B,modem,1591059,29455.22372557288,46150495253.09011,15910.595999964731,2.2495207909735973
no_tls_10_1416B,system,7190553,602.1340347594812,2477125146.483332,71905.53801621054,0.20782450429081017
no_tls_10_2048B,total,31138374,2357.807478365019,73425405860.26102,311383.7401379604,3.5240779734650527
no_tls_10_2048B,setup,1124288,25660.75379071234,28908768246.673378,11242.888000198986,1.38480470817437
no_tls_10_2048B,compute,22,23117.89655346173,522543.3094024658,0.22600000000000006,0.000025078294181195293
no_tls_10_2048B,send,14664,7478.343043730955,109666935.56851618,146.6460000000116,0.005264011651157071
no_tls_10_2048B,sleep,25924634,3.2937579136096913,85387319.11673895,259246.34808940365,0.004098694610850651
no_tls_10_2048B,modem,1402823,30278.685721715905,42476074289.53679,14028.232000259784,2.0388308542424833
no_tls_10_2048B,system,2671940,690.8699681449528,1844986525.3822002,26719.399998656805,0.08860622892443654
no_tls_15_256B,total,31107377,2185.215966128996,67979164507.48595,311073.77013767173,3.262864171914152
no_tls_15_256B,setup,1089882,25175.803471568393,27471978083.048504,10898.826000191475,1.3170561669678738
no_tls_15_256B,compute,717,34470.61964102842,24730712.876529247,7.173999999999891,0.0011870026814627239
no_tls_15_256B,send,14586,7311.666105348855,106654338.19209203,145.8680000000123,0.00511938293498456
no_tls_15_256B,sleep,26088809,3.2819461202748976,85622122.8606773,260888.09209093265,0.004109859175986033
no_tls_15_256B,modem,1285843,29897.49937101365,38443604327.034164,12858.43200023425,1.8452878206682815
no_tls_15_256B,system,2627537,702.7891891540528,1846574922.8315291,26275.37799872788,0.08863704767252258
no_tls_15_708B,total,31027955,2111.8491710275784,65528313678.10647,310279.55013693206,3.1452653315687518
no_tls_15_708B,setup,1010456,24895.916354509554,25184205644.773476,10104.562000174137,1.2074991857053972
no_tls_15_708B,compute,718,34536.5955669059,24805196.946956217,7.181999999999891,0.0011906007809352687
no_tls_15_708B,send,14593,7342.259670210039,107150271.8518933,145.93600000001226,0.005143200034712939
no_tls_15_708B,sleep,26097985,3.2667621033339342,85255950.25867729,260979.85609101813,0.004092283697336073
no_tls_15_708B,modem,1283846,29824.7281211475,38290529588.77764,12838.468000233815,1.8379383244753236
no_tls_15_708B,system,2620354,700.8059411743018,1836367024.9215226,26203.545998739377,0.08814528343560316
no_tls_15_1024B,total,31017239,2189.058553161122,67899338217.45725,310172.39413683227,3.2591305552305374
no_tls_15_1024B,setup,999679,24485.49224729816,24480941870.215843,9996.792000171787,1.174926590486681
no_tls_15_1024B,compute,717,31754.174170992388,22793837.43838966,7.1779999999998925,0.0010940710185570238
no_tls_15_1024B,send,14652,7400.637852956692,108435579.27981691,146.5220000000117,0.005204910045556834
no_tls_15_1024B,sleep,25995977,3.265594116936967,84892045.08098522,259959.77809006814,0.004074830985461597
no_tls_15_1024B,modem,1372156,30124.250296638602,41337557163.39123,13721.56400025309,1.9840887763438546
no_tls_15_1024B,system,2634056,708.0284293884655,1864717721.461621,26340.55999871745,0.08951935356050188
no_tls_15_1416B,total,31119215,2275.955851932374,70835570922.3395,311192.154137782,3.3996461005695657
no_tls_15_1416B,setup,1101664,25302.88064716358,27940465948.386086,11016.640000194046,1.338013089876855
no_tls_15_1416B,compute,717,34620.31110806518,24846016.5541986,7.175999999999893,0.0011924896920550657
no_tls_15_1416B,send,14645,7426.75907332213,108769352.92118573,146.45600000001178,0.005220928448844255
no_tls_15_1416B,sleep,26067796,3.2530887728216817,84800784.98574555,260677.962090737,0.00407044104863718
no_tls_15_1416B,modem,1354850,30142.562544707696,40838658377.543564,13548.506000249312,1.9602561095993394
