Configuration,Theoretical,Real Value,Difference
no_tls_15_1024B,0.5122622782864827,14.350000000009459,-13.837737721722975
tls_e2e_10_1416B,0.016008196196452586,0.4400000000005093,-0.4239918038040567
tls_e2e_15_708B,0.5122622782864827,14.340000000007421,-13.827737721720938
no_tls_25_1024B,524.5565729653583,14694.500000000004,-14169.943427034645
no_tls_25_708B,524.5565729653583,14687.049999999996,-14162.493427034637
tls_e2e_25_708B,524.5565729653583,14692.249999999996,-14167.693427034637
no_tls_20_2048B,16.392392905167448,459.41999999999825,-443.0276070948308
no_tls_20_256B,16.392392905167448,459.3600000000042,-442.96760709483675
tls_e2e_10_708B,0.016008196196452586,0.4200000000073487,-0.4039918038108961
no_tls_e2e_15_1024B,0.5122622782864827,14.320000000003347,-13.807737721716864
no_tls_10_1416B,0.016008196196452586,0.43000000000029104,-0.41399180380383843
no_tls_e2e_10_1024B,0.016008196196452586,0.43000000000211,-0.4139918038056574
no_tls_e2e_15_2048B,0.5122622782864827,14.33000000001266,-13.817737721726177
no_tls_e2e_10_1416B,0.016008196196452586,0.43000000000029104,-0.41399180380383843
no_tls_25_2048B,524.5565729653583,14691.91000000001,-14167.353427034652
no_tls_15_708B,0.5122622782864827,14.340000000012878,-13.827737721726395
tls_15_256B,0.5122622782864827,14.339999999996508,-13.827737721710024
tls_e2e_20_256B,16.392392905167448,459.1100000000042,-442.71760709483675
no_tls_20_708B,16.392392905167448,459.2499999999891,-442.8576070948216
no_tls_15_1416B,0.5122622782864827,14.329999999998108,-13.817737721711625
tls_e2e_20_1024B,16.392392905167448,459.4400000000096,-443.04760709484214
no_tls_e2e_20_1024B,16.392392905167448,459.22999999999956,-442.8376070948321
no_tls_e2e_25_1416B,524.5565729653583,14685.850000000004,-14161.293427034645
no_tls_e2e_15_256B,0.5122622782864827,14.329999999998108,-13.817737721711625
no_tls_e2e_20_256B,16.392392905167448,459.21000000000095,-442.8176070948335
no_tls_e2e_20_1416B,16.392392905167448,459.3199999999979,-442.9276070948304
tls_25_1024B,524.5565729653583,14690.200000000004,-14165.643427034645
no_tls_e2e_10_2048B,0.016008196196452586,0.4299999999930151,-0.4139918037965625
tls_15_2048B,0.5122622782864827,14.349999999991269,-13.837737721704785
tls_20_1024B,16.392392905167448,459.27999999999884,-442.88760709483137
tls_10_1024B,0.016008196196452586,0.4200000000091677,-0.4039918038127151
no_tls_e2e_25_2048B,524.5565729653583,14682.110000000006,-14157.553427034647
tls_25_708B,524.5565729653583,14679.420000000006,-14154.863427034647
tls_15_708B,0.5122622782864827,14.340000000007421,-13.827737721720938
tls_e2e_15_2048B,0.5122622782864827,14.329999999998108,-13.817737721711625
