Configuration,sum,comp,send,sleep,system,modem,system
10 256B,100.0\%,0.0\%,0.06\%,0.08\%,1.3\%,29.76\%,68.79\%
10 708B,100.0\%,0.0\%,0.07\%,0.08\%,1.28\%,30.26\%,68.32\%
10 1024B,100.0\%,0.0\%,0.08\%,0.1\%,1.55\%,35.36\%,62.91\%
10 1416B,100.0\%,0.0\%,0.08\%,0.09\%,1.34\%,31.1\%,67.39\%
10 2048B,100.0\%,0.0\%,0.07\%,0.09\%,1.24\%,32.14\%,66.46\%
15 256B,100.0\%,0.05\%,0.06\%,0.08\%,1.17\%,28.37\%,70.28\%
15 708B,100.0\%,0.06\%,0.08\%,0.11\%,1.53\%,37.21\%,61.01\%
15 1024B,100.0\%,0.07\%,0.07\%,0.08\%,1.3\%,30.41\%,68.08\%
15 1416B,100.0\%,0.06\%,0.06\%,0.07\%,1.15\%,27.57\%,71.08\%
15 2048B,100.0\%,0.07\%,0.08\%,0.1\%,1.45\%,36.98\%,61.31\%
20 256B,100.0\%,1.73\%,0.06\%,0.08\%,1.21\%,27.83\%,69.09\%
20 708B,100.0\%,1.93\%,0.07\%,0.08\%,1.32\%,32.68\%,63.92\%
20 1024B,100.0\%,1.86\%,0.07\%,0.09\%,1.25\%,31.06\%,65.67\%
20 1416B,100.0\%,1.95\%,0.07\%,0.09\%,1.33\%,30.71\%,65.84\%
20 2048B,100.0\%,1.76\%,0.06\%,0.08\%,1.19\%,31.75\%,65.15\%
25 256B,100.0\%,17.44\%,0.09\%,0.06\%,1.39\%,24.31\%,56.71\%
25 708B,100.0\%,17.35\%,0.09\%,0.06\%,1.32\%,25.87\%,55.31\%
25 1024B,100.0\%,17.94\%,0.09\%,0.07\%,1.39\%,26.21\%,54.3\%
25 1416B,100.0\%,16.64\%,0.08\%,0.06\%,1.34\%,24.97\%,56.9\%
25 2048B,100.0\%,14.01\%,0.08\%,0.05\%,1.38\%,30.48\%,54.0\%
