Configuration,sum,comp,send,sleep,system,modem,system
10 256B,100.0\%,0.0\%,0.07\%,0.07\%,1.41\%,27.73\%,70.72\%
10 708B,100.0\%,0.0\%,0.09\%,0.08\%,1.7\%,32.77\%,65.36\%
10 1024B,100.0\%,0.0\%,0.08\%,0.07\%,1.4\%,30.98\%,67.46\%
10 1416B,100.0\%,0.0\%,0.11\%,0.07\%,1.4\%,28.69\%,69.73\%
10 2048B,100.0\%,0.0\%,0.1\%,0.07\%,1.34\%,27.72\%,70.77\%
15 256B,100.0\%,0.05\%,0.08\%,0.07\%,1.48\%,27.22\%,71.1\%
15 708B,100.0\%,0.07\%,0.09\%,0.07\%,1.47\%,29.12\%,69.18\%
15 1024B,100.0\%,0.05\%,0.08\%,0.07\%,1.38\%,27.28\%,71.14\%
15 1416B,100.0\%,0.06\%,0.1\%,0.06\%,1.5\%,33.98\%,64.3\%
15 2048B,100.0\%,0.04\%,0.12\%,0.07\%,1.4\%,30.88\%,67.5\%
20 256B,100.0\%,2.01\%,0.08\%,0.07\%,1.42\%,26.61\%,69.81\%
20 708B,100.0\%,2.0\%,0.09\%,0.07\%,1.43\%,28.68\%,67.73\%
20 1024B,100.0\%,2.23\%,0.11\%,0.08\%,1.6\%,32.8\%,63.19\%
20 1416B,100.0\%,2.05\%,0.11\%,0.07\%,1.72\%,39.17\%,56.89\%
20 2048B,100.0\%,2.39\%,0.15\%,0.08\%,1.71\%,34.58\%,61.09\%
25 256B,100.0\%,18.61\%,0.1\%,0.06\%,1.61\%,23.88\%,55.74\%
25 708B,100.0\%,17.53\%,0.1\%,0.06\%,1.6\%,26.7\%,54.01\%
25 1024B,100.0\%,17.35\%,0.1\%,0.06\%,1.49\%,25.43\%,55.58\%
25 1416B,100.0\%,18.99\%,0.11\%,0.06\%,1.63\%,27.03\%,52.19\%
25 2048B,100.0\%,18.66\%,0.1\%,0.06\%,1.58\%,28.3\%,51.31\%
